OBJECTID,NAME,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,COUNTY,APP_ID,RECV_DT,STATUS,STATUS_EFF_DT,RO,REVIEWER,APPLICANT,SIGNED_BY,CLASSIFICATION,PROG_CAT,PERMIT_TYPE,APP_TYPE,ADMIN_COMP_DT,INFO_REQ_DT,INFO_REQS,INFO_WAIT_DAYS,INFO_RECV_DT,EST_ISSUED_DT
1592,Schoolhouse Quartz facility,US Hwy 19-E,,Spruce Pine,NC,28777,Avery,NC0000361,2015-07-30,In review,2015-07-30,Asheville,Derek Denard,Sibelco North America,Andrew G Bradley,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1619,Sevier Plant,630 American Thread Rd,,Marion,NC,28752,McDowell,NC0004243,2021-06-30,In review,2021-06-30,Asheville,Fenton Brown,Coats American Inc,Emrah Bilgin,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1629,"SGL Carbon, LLC",307 Jamestown Rd,,Morganton,NC,286559948,Burke,NC0005258,2023-02-19,Issued,2026-06-22,Asheville,Sergei Chernikov,Sgl Carbon LLC,Shane Holland,Individual,NPDES Wastewater,,Renewal,,2025-05-06,3.0,146.0,2025-07-03,2026-06-22
1636,Baxter Healthcare Corporation,65 Pitts Sta Rd,,Marion,NC,287527925,McDowell,NC0006564,2026-05-13,In review,2026-05-13,Asheville,Sergei Chernikov,Baxter Healthcare Corporation,Derek Bouchard,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1657,Newland WWTP,Cow Camp Rd,,Newland,NC,28657,Avery,NC0021857,2026-01-21,In review,2026-01-21,Asheville,Kate Shadwell,Town of Newland,Paul Isenhour,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1669,Linville Land Harbor WWTP,20 Land Harbor Plz,,Newland,NC,28657,Avery,NC0022756,2024-07-02,In draft,2025-09-25,Asheville,Cassilyn Shires,Linville Land Harbor Prop Owners Assoc,Cecil L. Lewis,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1701,Crossnore WWTP,U.S. Highway 221,,Crossnore,NC,28616,Avery,NC0026654,2024-07-03,In review,2024-07-03,Asheville,Sydney Deuterman,Town of Crossnore,Jadd Brewer,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1722,Corpening Creek WWTP,3982 NC Hwy 226 S,,Marion,NC,28752,McDowell,NC0031879,2025-06-30,In review,2025-06-30,Asheville,BIMS Conversion,City of Marion,Woody Ayers,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1732,Mountain Glen Golf Club,Mtn Glen Resort,,Newland,NC,28657,Avery,NC0033685,2026-01-21,In review,2026-01-21,Asheville,Kate Shadwell,Avery Development Corporation,Paul Isenhour,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1743,Pine Mountain Lakes WWTP,2885 Pine Mtn Dr,,Connellys Springs,NC,28612,Burke,NC0036935,2025-02-03,Issued,2026-07-02,Asheville,Sarah Montague,Pine Mountain Property Owners Assoc,Ronald Epperson,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,2026-07-02
1756,B.H. Corpening Forestry Training Center,6065 Linville Falls Hwy,,Crossnore,NC,28616,Avery,NC0040339,2025-06-16,In review,2025-06-16,Asheville,Nick Coco,NC Forest Service,Rachael G. Kramer,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1820,Catawba River WTP,100 Coulter St,,Morganton,NC,28655,Burke,NC0060194,2024-09-09,In review,2024-09-09,Asheville,Sydney Deuterman,City of Morganton,Michael D. Griffin,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1821,Jonas Ridge Adult Care Facility WWTP,NC Hwy 181 N,,Jonas Ridge,NC,28641,Burke,NC0060224,2024-07-03,In review,2024-07-03,Asheville,Cassilyn Shires,George Ware,Jadd Brewer,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1828,Linville Ridge Country Club WWTP,NC Hwy 105,,Linville,NC,28646,Avery,NC0062413,2024-07-03,In review,2024-07-03,Asheville,Cassilyn Shires,Linville Ridge Development Company,Steve Sheets,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1962,Columbia Forest Plywood Products,369 Columbia Carolina Rd,,Old Fort,NC,28762,McDowell,NC0087076,2024-07-05,In review,2024-07-05,Asheville,Kate Shadwell,Columbia Plywood Corporation - Columbia Carolina Division,Randy Marsh,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
1979,MIller Apartments WWTP,2041 US Hwy 70 E,,Marion,NC,28752,McDowell,NC0088901,2025-09-03,In review,2025-09-03,Asheville,Charles Weaver,Larry Miller,Larry Miller,Individual,NPDES Wastewater,,Renewal,,,0.0,0.0,,
